ticker,date,open,high,low,close,volume
ADBE,13 Aug 1986,0.2215,0.2215,0.2136,0.2136,18663741
ADBE,14 Aug 1986,0.2253,0.2259,0.2253,0.2253,8216344
ADBE,15 Aug 1986,0.2218,0.2218,0.2215,0.2215,8557638
ADBE,18 Aug 1986,0.2139,0.2139,0.2136,0.2136,5587114
ADBE,19 Aug 1986,0.2177,0.2177,0.2177,0.2177,4070250
ADBE,20 Aug 1986,0.2177,0.2183,0.2177,0.2177,1352537
ADBE,21 Aug 1986,0.2253,0.2263,0.2253,0.2253,1744393
ADBE,22 Aug 1986,0.2253,0.2259,0.2253,0.2253,3425583
ADBE,25 Aug 1986,0.218,0.218,0.2177,0.2177,1238772
ADBE,26 Aug 1986,0.2177,0.218,0.2177,0.2177,1567426
ADBE,27 Aug 1986,0.2177,0.2177,0.2177,0.2177,5018290
ADBE,28 Aug 1986,0.2082,0.2085,0.2076,0.2076,3071649
ADBE,29 Aug 1986,0.2076,0.2085,0.2076,0.2076,3059008
ADBE,02 Sep 1986,0.2253,0.2259,0.2253,0.2253,2110968
ADBE,03 Sep 1986,0.2253,0.2263,0.2253,0.2253,796353
ADBE,04 Sep 1986,0.2532,0.2535,0.2532,0.2532,3564629
ADBE,05 Sep 1986,0.2494,0.25,0.2494,0.2494,4221937
ADBE,08 Sep 1986,0.2456,0.2459,0.2452,0.2452,973321
ADBE,09 Sep 1986,0.2532,0.2538,0.2532,0.2532,985961
ADBE,10 Sep 1986,0.2649,0.2658,0.2649,0.2649,1845517
ADBE,11 Sep 1986,0.2342,0.2342,0.2332,0.2332,3551989
ADBE,12 Sep 1986,0.2373,0.2376,0.2373,0.2373,2540746
ADBE,15 Sep 1986,0.2611,0.2617,0.2611,0.2611,1971923
ADBE,16 Sep 1986,0.2709,0.2718,0.2709,0.2709,2477544
ADBE,17 Sep 1986,0.2927,0.293,0.2927,0.2927,2679792
ADBE,18 Sep 1986,0.2927,0.2933,0.2927,0.2927,695229
ADBE,19 Sep 1986,0.2927,0.2933,0.2927,0.2927,2022485
ADBE,22 Sep 1986,0.2816,0.2816,0.281,0.281,1542145
ADBE,23 Sep 1986,0.2715,0.2718,0.2709,0.2709,3551989
ADBE,24 Sep 1986,0.2769,0.2775,0.2769,0.2769,2591308
ADBE,25 Sep 1986,0.2693,0.2699,0.269,0.269,3273897
ADBE,26 Sep 1986,0.269,0.2696,0.269,0.269,1516863
ADBE,29 Sep 1986,0.2709,0.2715,0.2709,0.2709,935399
ADBE,30 Sep 1986,0.2709,0.2721,0.2709,0.2709,379216
ADBE,01 Oct 1986,0.2709,0.2721,0.2709,0.2709,733151
ADBE,02 Oct 1986,0.2709,0.2721,0.2709,0.2709,442419
ADBE,03 Oct 1986,0.2709,0.2718,0.2709,0.2709,88484
ADBE,06 Oct 1986,0.2769,0.2775,0.2769,0.2769,252811
ADBE,07 Oct 1986,0.2769,0.2775,0.2769,0.2769,391856
ADBE,08 Oct 1986,0.2769,0.2775,0.2769,0.2769,404497
ADBE,09 Oct 1986,0.2769,0.2775,0.2769,0.2769,1567426
ADBE,10 Oct 1986,0.2769,0.2775,0.2769,0.2769,442419
ADBE,13 Oct 1986,0.281,0.2813,0.281,0.281,897478
ADBE,14 Oct 1986,0.281,0.2816,0.281,0.281,948040
ADBE,15 Oct 1986,0.281,0.2816,0.281,0.281,695229
ADBE,16 Oct 1986,0.281,0.2927,0.2808,0.281,695229
ADBE,17 Oct 1986,0.281,0.2816,0.281,0.281,164327
ADBE,20 Oct 1986,0.281,0.2816,0.281,0.281,88484
ADBE,21 Oct 1986,0.2889,0.2892,0.2889,0.2889,644667
ADBE,22 Oct 1986,0.2927,0.293,0.2927,0.2927,2174171
ADBE,23 Oct 1986,0.2968,0.2971,0.2968,0.2968,1466301
ADBE,24 Oct 1986,0.3202,0.3209,0.3202,0.3202,3261256
ADBE,27 Oct 1986,0.3244,0.3247,0.3244,0.3244,1441020
