ticker,date,open,high,low,close,volume
AMD,28 Jul 80,3.4792,3.5208,3.4583,3.5208,253200
AMD,29 Jul 80,3.5,3.7396,3.5,3.7396,1060800
AMD,30 Jul 80,3.9167,4.1042,3.9063,4.0313,711600
AMD,31 Jul 80,4.0208,4.1563,4.0208,4.1354,528000
AMD,01 Aug 80,4.2917,4.2917,4.2083,4.2604,670800
AMD,04 Aug 80,4.2396,4.3333,4.2188,4.3125,290400
AMD,05 Aug 80,4.3125,4.4167,4.3125,4.3646,508800
AMD,06 Aug 80,4.3333,4.3333,4.2188,4.2396,351600
AMD,07 Aug 80,4.2604,4.2708,4.2083,4.2188,218400
AMD,08 Aug 80,4.2708,4.3333,4.2604,4.2708,471600
AMD,11 Aug 80,4.2917,4.4167,4.2708,4.4167,542400
AMD,12 Aug 80,4.4167,4.5,4.3333,4.3542,445200
AMD,13 Aug 80,4.3542,4.3646,4.2708,4.2708,234000
AMD,14 Aug 80,4.2708,4.4271,4.2708,4.3854,428400
AMD,15 Aug 80,4.4375,4.4479,4.3125,4.3333,206400
AMD,18 Aug 80,4.3021,4.3229,4.1042,4.1042,427200
AMD,19 Aug 80,4.0729,4.1042,3.9167,3.9479,639600
AMD,20 Aug 80,3.9167,4.1667,3.9063,4.1667,649200
AMD,21 Aug 80,4.2083,4.4375,4.2083,4.4167,307200
AMD,22 Aug 80,4.4375,4.5833,4.4375,4.5625,718800
AMD,25 Aug 80,4.5729,4.5938,4.5208,4.5208,333600
AMD,26 Aug 80,4.5417,4.75,4.5417,4.6354,284400
AMD,27 Aug 80,4.5938,4.6146,4.4792,4.4792,297600
AMD,28 Aug 80,4.375,4.4792,4.3542,4.375,334800
AMD,29 Aug 80,4.2292,4.2813,4.1354,4.2708,613200
AMD,02 Sep 80,4.25,4.25,4.1771,4.2396,242400
AMD,03 Sep 80,4.2604,4.4792,4.25,4.4375,350400
AMD,04 Sep 80,4.5,4.5417,4.4479,4.4792,435600
AMD,05 Sep 80,4.5208,4.5313,4.4792,4.5313,322800
AMD,08 Sep 80,4.5104,4.5208,4.2813,4.3021,309600
AMD,09 Sep 80,4.3021,4.3646,4.2188,4.3542,213600
AMD,10 Sep 80,4.5104,4.5313,4.4063,4.4167,615600
AMD,11 Sep 80,4.4479,4.5625,4.4479,4.5,285600
AMD,12 Sep 80,4.5104,4.5104,4.3542,4.3958,212400
AMD,15 Sep 80,4.375,4.375,4.3125,4.3125,207600
AMD,16 Sep 80,4.3333,4.5521,4.3333,4.5,600000
AMD,17 Sep 80,4.5208,4.75,4.5208,4.6771,558000
AMD,18 Sep 80,4.7083,4.8125,4.7083,4.7396,588000
AMD,19 Sep 80,4.7396,5.125,4.7292,5.0313,632400
AMD,22 Sep 80,5.0833,5.25,5.0833,5.25,472800
AMD,23 Sep 80,5.3958,5.7813,5.375,5.4271,972000
AMD,24 Sep 80,5.4167,5.7292,5.4167,5.7083,627600
AMD,25 Sep 80,5.7292,5.8229,5.5417,5.5729,406800
AMD,26 Sep 80,5.4375,5.4375,5.0208,5.1146,858000
AMD,29 Sep 80,4.9583,4.9583,4.7188,4.8333,922800
AMD,30 Sep 80,4.8333,5.1771,4.8333,5.1771,811200
AMD,01 Oct 80,5.1667,5.1667,4.9792,5.0417,584400
AMD,02 Oct 80,5.0417,5.0938,4.9167,4.9688,420000
AMD,03 Oct 80,4.9167,5.2396,4.9167,5.1771,547200
AMD,06 Oct 80,5.2188,5.4583,5.2188,5.375,351600
AMD,07 Oct 80,5.4792,5.4896,5.375,5.4375,418800
AMD,08 Oct 80,5.4583,5.4792,5.3958,5.4375,318000
AMD,09 Oct 80,5.4792,5.5417,5.4792,5.5313,276000
AMD,10 Oct 80,5.5417,5.5417,5.1667,5.1667,385200
AMD,13 Oct 80,5.2292,5.3958,5.2292,5.375,213600
AMD,14 Oct 80,5.375,5.3854,5.2917,5.2917,368400
AMD,15 Oct 80,5.2708,5.2917,5.25,5.2708,234000
AMD,16 Oct 80,5.2708,5.3958,5.1875,5.1875,187200
AMD,17 Oct 80,5.125,5.1354,5.0625,5.0938,212400
AMD,20 Oct 80,5.0729,5.1042,5.0417,5.1042,148800
AMD,21 Oct 80,5.125,5.1979,5.1042,5.1146,289200
AMD,22 Oct 80,5.1042,5.2188,5.1042,5.1875,123600
AMD,23 Oct 80,5.1563,5.1667,5.0417,5.0521,270000
AMD,24 Oct 80,5.0208,5.25,5.0208,5.25,274800
AMD,27 Oct 80,5.125,5.1667,4.9167,4.9167,173400
AMD,28 Oct 80,4.875,5,4.7917,5,400200
