ticker,date,open,high,low,close,volume
BA,28 Jul 80,5.6852,5.7407,5.6111,5.7222,1802925
BA,29 Jul 80,5.7593,5.7963,5.7037,5.7778,2031750
BA,30 Jul 80,5.7963,5.7963,5.6667,5.6852,2157975
BA,31 Jul 80,5.6667,5.6852,5.5926,5.6667,1509975
BA,01 Aug 80,5.6852,5.6852,5.4815,5.6111,1487700
BA,04 Aug 80,5.6111,5.7778,5.5556,5.7407,1406700
BA,05 Aug 80,5.6667,5.6852,5.4444,5.4815,5536350
BA,06 Aug 80,5.463,5.537,5.4259,5.537,2305800
BA,07 Aug 80,5.5556,5.5741,5.4815,5.5185,3842775
BA,08 Aug 80,5.5185,5.6481,5.5,5.5741,5580900
BA,11 Aug 80,5.5741,5.7037,5.5556,5.6852,2454300
BA,12 Aug 80,5.7037,5.7222,5.5556,5.5741,1963575
BA,13 Aug 80,5.5926,5.6296,5.537,5.537,1654425
BA,14 Aug 80,5.5926,5.5926,5.4815,5.5556,2590650
BA,15 Aug 80,5.5741,5.5926,5.5,5.5,2690550
BA,18 Aug 80,5.4815,5.6481,5.4259,5.5926,2502225
BA,19 Aug 80,5.6296,5.6852,5.537,5.5741,3396600
BA,20 Aug 80,5.6111,5.8148,5.6111,5.8148,2322000
BA,21 Aug 80,5.8148,5.8333,5.7593,5.7963,2041200
BA,22 Aug 80,5.8333,5.8889,5.7963,5.7963,2057400
BA,25 Aug 80,5.7778,5.8148,5.7222,5.7778,1071225
BA,26 Aug 80,5.7593,5.9259,5.7593,5.8333,1912950
BA,27 Aug 80,5.8333,5.8519,5.7407,5.7593,1468125
BA,28 Aug 80,5.7222,5.7407,5.6296,5.6481,1488375
BA,29 Aug 80,5.5926,5.6481,5.5741,5.6296,1233900
BA,02 Sep 80,5.5741,5.6667,5.5556,5.6667,922725
BA,03 Sep 80,5.6852,5.7963,5.3889,5.7778,1287225
BA,04 Sep 80,5.8333,5.8889,5.7037,5.7593,1749600
BA,05 Sep 80,5.7593,5.7778,5.6481,5.7037,1142100
BA,08 Sep 80,5.6667,5.7037,5.5556,5.5741,969300
BA,09 Sep 80,5.5185,5.7778,5.5185,5.7778,1204200
BA,10 Sep 80,5.7222,5.8148,5.7037,5.7593,1609200
BA,11 Sep 80,5.7778,5.8333,5.6667,5.7593,855225
BA,12 Sep 80,5.7222,5.7593,5.6667,5.7037,1623375
BA,15 Sep 80,5.7037,5.7222,5.6481,5.7222,1174500
BA,16 Sep 80,5.7407,5.8148,5.6852,5.7222,2135700
BA,17 Sep 80,5.7037,6.0741,5.6852,6.0741,3393225
BA,18 Sep 80,6.0741,6.1481,6,6.037,3977100
BA,19 Sep 80,6.037,6.1111,5.9815,6,1904175
BA,22 Sep 80,6,6.1852,5.9074,6.1667,1981125
BA,23 Sep 80,6.2037,6.2037,5.9444,5.9815,2108700
BA,24 Sep 80,6,6.1111,5.963,6.037,1198125
BA,25 Sep 80,6.0556,6.1111,5.9074,5.9444,1057725
BA,26 Sep 80,5.8889,5.8889,5.7593,5.7778,1321650
BA,29 Sep 80,5.6667,5.7778,5.6481,5.7037,1374975
BA,30 Sep 80,5.7407,5.7778,5.6852,5.7037,1702350
BA,01 Oct 80,5.7222,5.8704,5.6296,5.8704,2491425
BA,02 Oct 80,5.9259,5.963,5.8148,5.8889,1445850
BA,03 Oct 80,5.963,6.037,5.9074,5.963,1890675
BA,06 Oct 80,6.0185,6.0926,6,6.0741,3765150
BA,07 Oct 80,6.0926,6.0926,5.9259,6,2152575
BA,08 Oct 80,5.9815,6.0926,5.8889,5.963,4216050
BA,09 Oct 80,5.963,6,5.8519,5.8704,2211975
BA,10 Oct 80,5.8889,5.8889,5.7778,5.8333,2208600
BA,13 Oct 80,5.7407,5.8704,5.7222,5.8704,1678050
BA,14 Oct 80,5.9074,5.9815,5.8519,5.8889,1532925
BA,15 Oct 80,5.9074,6.1852,5.8889,6.037,3718575
BA,16 Oct 80,6.2037,6.2037,5.5556,5.5556,8037900
BA,17 Oct 80,5.5556,5.6481,5.5,5.5556,10424700
BA,20 Oct 80,5.5741,5.5926,5.463,5.5185,3967650
BA,21 Oct 80,5.4815,5.4815,5.2037,5.2593,5386500
BA,22 Oct 80,5.3148,5.3704,5.2593,5.2778,4315950
BA,23 Oct 80,5.3148,5.3148,5,5.1111,4364550
BA,24 Oct 80,5.1111,5.1481,5.0185,5.1296,3995325
BA,27 Oct 80,5.1667,5.1852,5.0926,5.1667,1981800
BA,28 Oct 80,5.2037,5.2593,5.1481,5.2222,3581550
BA,29 Oct 80,5.2778,5.3148,5.2222,5.2222,1762425
BA,30 Oct 80,5.2593,5.2963,5.2037,5.2222,1211625
BA,31 Oct 80,5.2222,5.3889,5.2222,5.3333,1657800
BA,03 Nov 80,5.4074,5.5556,5.4074,5.537,2226825
BA,05 Nov 80,5.6481,5.7407,5.6481,5.7407,7363575
BA,06 Nov 80,5.7037,5.7222,5.4074,5.4815,5962950
BA,07 Nov 80,5.4444,5.5185,5.3704,5.4074,2767500
BA,10 Nov 80,5.4074,5.4444,5.2593,5.3333,2020275
BA,11 Nov 80,5.4444,5.537,5.3704,5.4815,3206250
BA,12 Nov 80,5.6481,5.8519,5.5556,5.8519,7435800
BA,13 Nov 80,5.9259,5.9444,5.7963,5.9259,8782425
BA,14 Nov 80,5.8704,5.9444,5.7593,5.8148,5284575
BA,17 Nov 80,5.7593,5.8519,5.7037,5.8519,2281500
BA,18 Nov 80,5.9074,5.9444,5.8519,5.9259,55998
BA,19 Nov 80,5.9259,6.0185,5.8704,5.9074,3613950
BA,20 Nov 80,5.8889,5.963,5.8519,5.963,2316600
BA,21 Nov 80,5.9259,5.9444,5.7037,5.7593,2132325
BA,24 Nov 80,5.6667,5.7593,5.6481,5.7593,1696950
BA,25 Nov 80,5.7778,5.8148,5.7407,5.7407,1818450
BA,26 Nov 80,5.7037,5.7407,5.6852,5.7037,1630125
BA,28 Nov 80,5.7407,5.7593,5.6667,5.6667,1021275
BA,01 Dec 80,5.7037,5.7593,5.5556,5.5741,2125575
BA,02 Dec 80,5.5556,5.6667,5.5556,5.6667,1274400
BA,03 Dec 80,5.6481,5.7593,5.6296,5.7037,1112400
BA,04 Dec 80,5.7407,5.9259,5.7407,5.8519,2690550
BA,05 Dec 80,5.7407,5.8333,5.6667,5.6667,1430325
BA,08 Dec 80,5.6296,5.6667,5.5741,5.6296,1496475
BA,09 Dec 80,5.6111,5.6852,5.5926,5.6111,2145150
BA,10 Dec 80,5.6111,5.6667,5.5,5.5,2056725
BA,11 Dec 80,5.4444,5.4815,5.3519,5.463,1828575
BA,12 Dec 80,5.3519,5.5,5.4259,5.463,766125
BA,15 Dec 80,5.4259,5.5741,5.5,5.5185,940275
BA,16 Dec 80,5.5,5.537,5.4444,5.5,1023975
BA,17 Dec 80,5.4444,5.6852,5.5185,5.6852,777600
BA,18 Dec 80,5.5185,5.7407,5.6481,5.6852,1075950
BA,19 Dec 80,5.6481,5.9259,5.7222,5.9259,2340900
BA,22 Dec 80,5.7222,6.037,5.8519,6.0185,2122875
BA,23 Dec 80,5.8519,6.1667,6.037,6.1111,3484350
BA,24 Dec 80,6.037,6.1111,6,6.037,712800
