ticker,date,open,high,low,last,volume
F,28-Jul-80,1.8165,1.8253,1.7899,1.7988,987300
F,29-Jul-80,1.8165,1.8962,1.8076,1.8962,1101600
F,30-Jul-80,1.8962,1.9405,1.8874,1.9228,1511100
F,31-Jul-80,1.9405,2.0203,1.9139,2.0203,1079100
F,01-Aug-80,2.0203,2.0203,1.976,1.9848,1041300
F,04-Aug-80,1.9848,1.9848,1.9582,1.9848,643500
F,05-Aug-80,1.976,1.9848,1.9228,1.9494,1567800
F,06-Aug-80,1.9405,1.9582,1.9317,1.9582,987300
F,07-Aug-80,1.9848,2.0025,1.9671,2.0025,1089000
F,08-Aug-80,2.0203,2.0291,1.9848,1.9848,1296900
F,11-Aug-80,1.9848,2.0114,1.9671,1.976,1794600
F,12-Aug-80,1.976,1.976,1.9494,1.9582,1438200
F,13-Aug-80,1.9494,1.9671,1.9494,1.9671,3137400
F,14-Aug-80,1.9582,2.0025,1.9494,2.0025,837900
F,15-Aug-80,2.0025,2.0114,1.976,1.9848,884700
F,18-Aug-80,1.9671,1.976,1.9582,1.9671,912600
F,19-Aug-80,1.9494,1.9582,1.9405,1.9582,1253700
F,20-Aug-80,1.9494,2.0291,1.9494,2.0291,1480500
F,21-Aug-80,2.0291,2.038,1.9937,2.0203,1045800
F,22-Aug-80,2.0114,2.0291,1.9582,1.9671,805500
F,25-Aug-80,1.976,1.976,1.9494,1.9494,3738600
F,26-Aug-80,1.9494,1.9671,1.9494,1.9671,507600
F,27-Aug-80,1.9582,1.9671,1.9582,1.9582,1059300
F,28-Aug-80,1.9582,1.976,1.9582,1.9671,2184300
F,29-Aug-80,1.9582,1.976,1.9494,1.9582,1761300
F,02-Sep-80,1.9494,1.976,1.9494,1.976,1071000
F,03-Sep-80,1.9937,2.1443,1.9937,2.1443,2221200
F,04-Sep-80,2.1443,2.1798,2.0557,2.1,1532700
F,05-Sep-80,2.1,2.1089,2.0557,2.0734,1147500
F,08-Sep-80,2.0912,2.1089,2.0557,2.0557,1110600
F,09-Sep-80,2.0557,2.1,2.038,2.1,1247400
F,10-Sep-80,2.1089,2.1266,2.0734,2.1177,810900
F,11-Sep-80,2.1089,2.162,2.1089,2.1355,1160100
F,12-Sep-80,2.1443,2.1443,2.1177,2.1355,1224000
F,15-Sep-80,2.1177,2.1355,2.1,2.1177,962100
F,16-Sep-80,2.1177,2.1177,2.0734,2.0734,961200
F,17-Sep-80,2.0734,2.1089,2.0734,2.1,1552500
F,18-Sep-80,2.1,2.1089,2.038,2.0469,1447200
F,19-Sep-80,2.038,2.1532,2.0291,2.1,2059200
F,22-Sep-80,2.0734,2.1709,2.0734,2.1709,1271700
F,23-Sep-80,2.1532,2.1709,2.1089,2.1266,942300
F,24-Sep-80,2.1,2.1177,2.0912,2.1089,746100
F,25-Sep-80,2.0734,2.0912,2.0291,2.038,826200
F,26-Sep-80,2.0203,2.0203,1.9494,2.0025,1560600
F,29-Sep-80,1.9848,1.9848,1.9405,1.9405,831600
F,30-Sep-80,1.9405,1.976,1.9405,1.9582,1131300
F,01-Oct-80,1.9671,1.976,1.8962,1.9139,1584000
F,02-Oct-80,1.9139,1.9228,1.8785,1.8962,1488600
F,03-Oct-80,1.8874,1.9848,1.8874,1.9582,945900
F,06-Oct-80,1.976,2.0469,1.976,2.038,754200
F,07-Oct-80,2.038,2.0469,1.9848,1.9848,1123200
F,08-Oct-80,1.9937,2.0203,1.9848,2.0114,845100
F,09-Oct-80,1.9937,2.0114,1.976,1.9848,1037700
F,10-Oct-80,1.976,1.9848,1.9671,1.976,694800
F,13-Oct-80,1.976,1.9848,1.9671,1.976,2198700
F,14-Oct-80,1.976,1.976,1.9494,1.9671,941400
F,15-Oct-80,1.976,1.976,1.9317,1.9405,667800
F,16-Oct-80,1.9405,1.9494,1.8874,1.9051,1440000
F,17-Oct-80,1.8874,1.9051,1.8519,1.8608,1452600
F,20-Oct-80,1.8519,1.8785,1.8431,1.8696,1527300
F,21-Oct-80,1.8696,1.8785,1.7899,1.8076,1467000
F,22-Oct-80,1.7988,1.8165,1.781,1.7988,1053900
F,23-Oct-80,1.8165,1.8165,1.7544,1.7633,1551600
F,24-Oct-80,1.7633,1.8342,1.7544,1.8253,684900
F,27-Oct-80,1.7988,1.7988,1.7544,1.7544,1071000
F,28-Oct-80,1.7633,1.7722,1.7456,1.7722,742500
F,29-Oct-80,1.7722,1.7988,1.7633,1.7899,596700
F,30-Oct-80,1.7722,1.7899,1.7633,1.7899,621900
F,31-Oct-80,1.7722,1.8253,1.7722,1.8253,765900
F,03-Nov-80,1.8253,1.8253,1.781,1.781,835200
F,05-Nov-80,1.781,1.8519,1.7722,1.781,2406600
F,06-Nov-80,1.7544,1.7633,1.7279,1.7367,976500
F,07-Nov-80,1.719,1.7367,1.7013,1.7279,817200
F,10-Nov-80,1.7101,1.7367,1.7013,1.7013,907200
F,11-Nov-80,1.7013,1.7013,1.6924,1.6924,782100
F,12-Nov-80,1.6836,1.6836,1.657,1.6836,1432800
F,13-Nov-80,1.6747,1.6924,1.6658,1.6836,1218600
F,14-Nov-80,1.6924,1.7456,1.6747,1.719,2176200
F,17-Nov-80,1.7013,1.7101,1.657,1.6836,1060200
F,18-Nov-80,1.6836,1.6924,1.6747,1.6747,1049400
F,19-Nov-80,1.6747,1.6747,1.6304,1.6304,4469400
F,20-Nov-80,1.6304,1.6304,1.6127,1.6215,1253700
F,21-Nov-80,1.6127,1.6215,1.5772,1.595,1230300
F,24-Nov-80,1.5772,1.5861,1.5595,1.5772,2044800
F,25-Nov-80,1.595,1.6215,1.5861,1.595,1019700
F,26-Nov-80,1.6127,1.6393,1.5861,1.6215,944100
