ticker,date,open,high,low,close,volume
GD,28 Jul 80,4.5,4.625,4.5,4.6094,638400
GD,29 Jul 80,4.625,4.7266,4.6094,4.6719,905600
GD,30 Jul 80,4.7031,4.7344,4.625,4.625,1041600
GD,31 Jul 80,4.6172,4.6172,4.5156,4.5625,1113600
GD,01 Aug 80,4.5781,4.5781,4.4688,4.5,598400
GD,04 Aug 80,4.5,4.5781,4.5,4.5625,1160000
GD,05 Aug 80,4.5781,4.6406,4.5625,4.5625,668800
GD,06 Aug 80,4.5703,4.5938,4.5625,4.5938,1092800
GD,07 Aug 80,4.625,4.6719,4.5938,4.6719,1129600
GD,08 Aug 80,4.6875,4.6875,4.5859,4.6094,1897600
GD,11 Aug 80,4.5938,4.625,4.5781,4.5938,811200
GD,12 Aug 80,4.5859,4.6172,4.5,4.5313,1929600
GD,13 Aug 80,4.4375,4.5156,4.4375,4.4922,1484800
GD,14 Aug 80,4.5078,4.5313,4.4844,4.5,873600
GD,15 Aug 80,4.5156,4.5469,4.4844,4.5078,833600
GD,18 Aug 80,4.5,4.5547,4.4531,4.5,1894400
GD,19 Aug 80,4.4844,4.5,4.3828,4.3906,1238400
GD,20 Aug 80,4.375,4.3906,4.2656,4.3672,1894400
GD,21 Aug 80,4.3906,4.4141,4.3828,4.3984,1336000
GD,22 Aug 80,4.5,4.5391,4.4766,4.5,1588800
GD,25 Aug 80,4.5078,4.5469,4.4766,4.5234,678400
GD,26 Aug 80,4.5313,4.5547,4.5156,4.5313,561600
GD,27 Aug 80,4.5313,4.5625,4.4844,4.4844,963200
GD,28 Aug 80,4.4688,4.5313,4.4688,4.4766,761600
GD,29 Aug 80,4.4688,4.5,4.4609,4.4766,336000
GD,02 Sep 80,4.4922,4.5313,4.4609,4.5078,518400
GD,03 Sep 80,4.5547,4.5781,4.5313,4.5625,1376000
GD,04 Sep 80,4.6094,4.6406,4.5391,4.5781,1024000
GD,05 Sep 80,4.5391,4.5625,4.4688,4.4844,723200
GD,08 Sep 80,4.4688,4.4766,4.3125,4.3125,307200
GD,09 Sep 80,4.2813,4.2891,4.2031,4.25,2580800
GD,10 Sep 80,4.2656,4.2656,4.2031,4.2422,761600
GD,11 Sep 80,4.2422,4.3047,4.2422,4.2813,1558400
GD,12 Sep 80,4.3047,4.3047,4.2656,4.2969,428800
GD,15 Sep 80,4.2813,4.2813,4.2266,4.2422,856000
GD,16 Sep 80,4.25,4.3125,4.25,4.3125,1344000
GD,17 Sep 80,4.3438,4.5938,4.3438,4.5859,1355200
GD,18 Sep 80,4.5703,4.625,4.5,4.5156,1371200
GD,19 Sep 80,4.5547,4.6172,4.5313,4.5391,841600
GD,22 Sep 80,4.5781,4.6016,4.5078,4.5547,1609600
GD,23 Sep 80,4.5469,4.6172,4.5,4.5234,2187200
GD,24 Sep 80,4.5156,4.5391,4.4844,4.5391,1038400
GD,25 Sep 80,4.5313,4.5469,4.4688,4.4844,304000
GD,26 Sep 80,4.4844,4.4844,4.3281,4.3594,507200
GD,29 Sep 80,4.375,4.375,4.2422,4.2578,878400
GD,30 Sep 80,4.2656,4.3281,4.2656,4.2969,993600
GD,01 Oct 80,4.2813,4.2813,4.0938,4.1563,2404800
GD,02 Oct 80,4.1563,4.2031,4.0859,4.2031,2672000
