ticker,date,open,high,low,close,volume
HOG,08 Jul 1986,0.3438,0.3516,0.3438,0.3438,17004800
HOG,09 Jul 1986,0.3516,0.4023,0.3477,0.3984,11001600
HOG,10 Jul 1986,0.4063,0.418,0.3711,0.4063,8822400
HOG,11 Jul 1986,0.4102,0.4336,0.4023,0.4336,5884800
HOG,14 Jul 1986,0.4336,0.4336,0.3867,0.3906,4313600
HOG,15 Jul 1986,0.3906,0.3945,0.3672,0.3867,3145600
HOG,16 Jul 1986,0.3906,0.3945,0.3711,0.3711,1475200
HOG,17 Jul 1986,0.375,0.375,0.3555,0.3633,2291200
HOG,18 Jul 1986,0.3633,0.3633,0.3516,0.3594,1238400
HOG,21 Jul 1986,0.3594,0.3594,0.3516,0.3516,646400
HOG,22 Jul 1986,0.3555,0.3711,0.3516,0.3672,681600
HOG,23 Jul 1986,0.3711,0.3789,0.3711,0.375,1216000
HOG,24 Jul 1986,0.3789,0.3828,0.3555,0.3555,252800
HOG,25 Jul 1986,0.3594,0.375,0.3555,0.3711,694400
HOG,28 Jul 1986,0.3633,0.3711,0.3633,0.3633,825600
HOG,29 Jul 1986,0.3633,0.375,0.3633,0.3711,262400
HOG,30 Jul 1986,0.3789,0.3789,0.3672,0.3672,380800
HOG,31 Jul 1986,0.3633,0.3672,0.3594,0.3594,169600
HOG,01 Aug 1986,0.3594,0.3633,0.3594,0.3633,278400
HOG,04 Aug 1986,0.3633,0.3633,0.3203,0.3281,1100800
HOG,05 Aug 1986,0.3242,0.3398,0.3164,0.3203,784000
HOG,06 Aug 1986,0.3203,0.332,0.3086,0.3125,521600
HOG,07 Aug 1986,0.3086,0.3125,0.2852,0.3047,1068800
HOG,08 Aug 1986,0.3047,0.3047,0.2891,0.3008,483200
HOG,11 Aug 1986,0.3086,0.3125,0.3008,0.3086,316800
HOG,12 Aug 1986,0.3125,0.3164,0.3086,0.3086,460800
HOG,13 Aug 1986,0.3242,0.3242,0.3125,0.3164,342400
HOG,14 Aug 1986,0.3203,0.3359,0.3203,0.3281,131200
HOG,15 Aug 1986,0.332,0.3398,0.3281,0.3398,592000
HOG,18 Aug 1986,0.3398,0.3398,0.3242,0.3242,284800
HOG,19 Aug 1986,0.3281,0.3281,0.3203,0.3281,329600
HOG,20 Aug 1986,0.3242,0.3281,0.3203,0.3203,86400
HOG,21 Aug 1986,0.3203,0.3242,0.3086,0.3125,204800
HOG,22 Aug 1986,0.3086,0.3086,0.293,0.3008,1452800
HOG,25 Aug 1986,0.3047,0.3047,0.2969,0.3008,105600
HOG,26 Aug 1986,0.3008,0.3125,0.3008,0.3125,310400
HOG,27 Aug 1986,0.3125,0.3125,0.3047,0.3047,169600
HOG,28 Aug 1986,0.3047,0.3047,0.3008,0.3047,83200
HOG,29 Aug 1986,0.3047,0.3125,0.3008,0.3047,387200
HOG,02 Sep 1986,0.3008,0.3047,0.2891,0.2891,553600
HOG,03 Sep 1986,0.2891,0.293,0.2773,0.2773,348800
HOG,04 Sep 1986,0.2773,0.293,0.2773,0.2852,144000
HOG,05 Sep 1986,0.2891,0.2891,0.2773,0.2813,172800
HOG,08 Sep 1986,0.2813,0.2813,0.2656,0.2656,211200
HOG,09 Sep 1986,0.2656,0.2773,0.2656,0.2695,396800
HOG,10 Sep 1986,0.2734,0.2734,0.2656,0.2656,28800
HOG,11 Sep 1986,0.2695,0.2734,0.2422,0.2461,316800
HOG,12 Sep 1986,0.2344,0.2383,0.2266,0.2305,1676800
HOG,15 Sep 1986,0.2344,0.2461,0.2344,0.2461,496000
HOG,16 Sep 1986,0.25,0.2734,0.2461,0.2734,278400
HOG,17 Sep 1986,0.2734,0.2734,0.2617,0.2734,220800
HOG,18 Sep 1986,0.2695,0.2773,0.2695,0.2734,169600
HOG,19 Sep 1986,0.2773,0.2813,0.2617,0.2695,316800
HOG,22 Sep 1986,0.2695,0.2695,0.25,0.2578,182400
HOG,23 Sep 1986,0.2578,0.2617,0.2578,0.2578,73600
HOG,24 Sep 1986,0.25,0.2539,0.2461,0.2539,92800
HOG,25 Sep 1986,0.25,0.25,0.2383,0.2383,166400
HOG,26 Sep 1986,0.2383,0.25,0.2383,0.25,115200
HOG,29 Sep 1986,0.2539,0.2539,0.2461,0.2461,57600
HOG,30 Sep 1986,0.25,0.25,0.2383,0.2383,115200
HOG,01 Oct 1986,0.2461,0.2539,0.2422,0.25,809600
HOG,02 Oct 1986,0.2578,0.2578,0.2539,0.2578,915200
HOG,03 Oct 1986,0.2539,0.2578,0.2539,0.2578,80000
HOG,06 Oct 1986,0.2578,0.2617,0.2539,0.2578,1161600
HOG,07 Oct 1986,0.2578,0.2578,0.2461,0.2461,128000
HOG,08 Oct 1986,0.2461,0.2539,0.2422,0.2539,195200
HOG,09 Oct 1986,0.2578,0.2578,0.2461,0.25,67200
HOG,10 Oct 1986,0.2461,0.2539,0.2422,0.2422,144000
HOG,13 Oct 1986,0.2461,0.2461,0.2422,0.2422,44800
HOG,14 Oct 1986,0.2422,0.2422,0.2344,0.2383,131200
HOG,15 Oct 1986,0.2422,0.25,0.2383,0.25,102400
HOG,16 Oct 1986,0.25,0.25,0.2461,0.25,284800
HOG,17 Oct 1986,0.25,0.25,0.2422,0.2461,598400
HOG,20 Oct 1986,0.2461,0.2461,0.2422,0.2422,48000
HOG,21 Oct 1986,0.2383,0.2383,0.2383,0.2383,28800
HOG,22 Oct 1986,0.2383,0.2383,0.2344,0.2344,115200
HOG,23 Oct 1986,0.2383,0.2383,0.2305,0.2344,172800
HOG,24 Oct 1986,0.2344,0.2344,0.2305,0.2305,108800
HOG,27 Oct 1986,0.2305,0.2383,0.2305,0.2344,188800
HOG,28 Oct 1986,0.2383,0.2461,0.2383,0.2461,48000
HOG,29 Oct 1986,0.2461,0.2539,0.2383,0.2539,217600
HOG,30 Oct 1986,0.25,0.2539,0.25,0.25,147200
HOG,31 Oct 1986,0.25,0.2617,0.25,0.2539,185600
HOG,03 Nov 1986,0.25,0.2617,0.25,0.2617,1020800
HOG,04 Nov 1986,0.2539,0.2617,0.2539,0.2539,281600
HOG,05 Nov 1986,0.25,0.2578,0.25,0.25,985600
HOG,06 Nov 1986,0.2461,0.2461,0.2344,0.2383,2051200
HOG,07 Nov 1986,0.2344,0.2383,0.2344,0.2344,134400
HOG,10 Nov 1986,0.2344,0.2422,0.2344,0.2383,169600
HOG,11 Nov 1986,0.2383,0.2461,0.2383,0.2422,364800
HOG,12 Nov 1986,0.2422,0.2422,0.2383,0.2383,118400
HOG,13 Nov 1986,0.2422,0.2461,0.2383,0.2383,160000
HOG,14 Nov 1986,0.2383,0.2383,0.2344,0.2344,256000
HOG,17 Nov 1986,0.2344,0.2344,0.2305,0.2305,140800
HOG,18 Nov 1986,0.2266,0.2461,0.2266,0.2461,668800
HOG,19 Nov 1986,0.2539,0.332,0.2539,0.3125,4096000
HOG,20 Nov 1986,0.3281,0.3398,0.3125,0.3125,3251200
HOG,21 Nov 1986,0.3047,0.3164,0.293,0.2969,1200000
HOG,24 Nov 1986,0.3008,0.3008,0.2969,0.2969,649600
HOG,25 Nov 1986,0.3008,0.3008,0.293,0.293,233600
HOG,26 Nov 1986,0.2891,0.293,0.2734,0.293,348800
HOG,28 Nov 1986,0.2852,0.2891,0.2813,0.2813,246400
HOG,01 Dec 1986,0.2773,0.2813,0.2773,0.2773,80000
HOG,02 Dec 1986,0.2773,0.293,0.2773,0.2891,198400
HOG,03 Dec 1986,0.2891,0.3047,0.2891,0.3008,118400
HOG,04 Dec 1986,0.3047,0.3125,0.3047,0.3047,409600
HOG,05 Dec 1986,0.3047,0.3047,0.2969,0.3008,102400
HOG,08 Dec 1986,0.3008,0.3008,0.2969,0.2969,304000
HOG,09 Dec 1986,0.2969,0.3047,0.2969,0.3047,198400
HOG,10 Dec 1986,0.3047,0.3047,0.3008,0.3008,102400
HOG,11 Dec 1986,0.3008,0.3008,0.293,0.2969,284800
HOG,12 Dec 1986,0.293,0.2969,0.2891,0.2969,169600
HOG,15 Dec 1986,0.2969,0.3008,0.293,0.293,198400
HOG,16 Dec 1986,0.3008,0.3047,0.3008,0.3008,99200
HOG,17 Dec 1986,0.3086,0.3125,0.3008,0.3086,227200
HOG,18 Dec 1986,0.3047,0.3047,0.2969,0.2969,131200
HOG,19 Dec 1986,0.293,0.3008,0.293,0.3008,70400
HOG,22 Dec 1986,0.3047,0.3047,0.2969,0.3008,115200
HOG,23 Dec 1986,0.3047,0.3047,0.3008,0.3047,236800
HOG,24 Dec 1986,0.3047,0.3047,0.3008,0.3008,118400
HOG,26 Dec 1986,0.3047,0.3047,0.3008,0.3008,44800
HOG,29 Dec 1986,0.3008,0.3047,0.293,0.3008,505600
HOG,30 Dec 1986,0.2969,0.3125,0.2969,0.3125,246400
HOG,31 Dec 1986,0.3125,0.3281,0.3086,0.3281,617600
HOG,02 Jan 1987,0.332,0.3398,0.332,0.3359,409600
HOG,05 Jan 1987,0.3281,0.3398,0.3281,0.3281,368000
HOG,06 Jan 1987,0.3281,0.3398,0.3281,0.3359,934400
HOG,07 Jan 1987,0.3359,0.3359,0.3242,0.3281,534400
HOG,08 Jan 1987,0.3203,0.3242,0.3047,0.3125,345600
HOG,09 Jan 1987,0.3086,0.3125,0.3086,0.3125,41600
HOG,12 Jan 1987,0.3125,0.332,0.3086,0.3281,617600
HOG,13 Jan 1987,0.3242,0.332,0.3203,0.3242,288000
HOG,14 Jan 1987,0.3203,0.332,0.3164,0.3281,233600
HOG,15 Jan 1987,0.3359,0.3359,0.3281,0.3281,240000
HOG,16 Jan 1987,0.3281,0.332,0.3086,0.3203,726400
HOG,19 Jan 1987,0.3203,0.332,0.3164,0.3281,163200
HOG,20 Jan 1987,0.3242,0.332,0.3203,0.3281,291200
HOG,21 Jan 1987,0.332,0.332,0.3242,0.3281,320000
HOG,22 Jan 1987,0.3242,0.332,0.3242,0.3281,108800
HOG,23 Jan 1987,0.3242,0.3281,0.3203,0.3242,204800
HOG,26 Jan 1987,0.3242,0.3242,0.3203,0.3203,140800
