ticker,date,open,high,low,close,volume
MSFT,13 Mar 1986,0.0903,0.1024,0.0885,0.0972,1031788800
MSFT,14 Mar 1986,0.0972,0.1024,0.0972,0.1007,308160000
MSFT,17 Mar 1986,0.1016,0.1033,0.1007,0.1024,133171200
MSFT,18 Mar 1986,0.1033,0.1033,0.099,0.0998,66470400
MSFT,19 Mar 1986,0.0998,0.1007,0.0972,0.0981,47894400
MSFT,20 Mar 1986,0.0981,0.0981,0.0946,0.0955,58435200
MSFT,21 Mar 1986,0.0946,0.0972,0.0911,0.0929,59990400
MSFT,24 Mar 1986,0.0916,0.0929,0.0894,0.0903,65289600
MSFT,25 Mar 1986,0.0903,0.092,0.0894,0.092,32083200
MSFT,26 Mar 1986,0.092,0.0955,0.0911,0.0946,22752000
MSFT,27 Mar 1986,0.0955,0.0964,0.0946,0.0964,16848000
MSFT,31 Mar 1986,0.0964,0.0964,0.0938,0.0955,12873600
MSFT,01 Apr 1986,0.0946,0.0955,0.0946,0.0946,11088000
MSFT,02 Apr 1986,0.0955,0.0972,0.0946,0.0955,27014400
MSFT,03 Apr 1986,0.0972,0.099,0.0964,0.0964,23040000
MSFT,04 Apr 1986,0.0964,0.0972,0.0964,0.0964,26582400
MSFT,07 Apr 1986,0.0964,0.0972,0.0929,0.0946,16560000
MSFT,08 Apr 1986,0.0955,0.0972,0.0946,0.0955,10252800
MSFT,09 Apr 1986,0.0964,0.0981,0.0955,0.0972,12153600
MSFT,10 Apr 1986,0.0964,0.099,0.0955,0.0981,13881600
MSFT,11 Apr 1986,0.0998,0.1016,0.099,0.0998,17222400
MSFT,14 Apr 1986,0.0998,0.1016,0.0998,0.1007,12153600
MSFT,15 Apr 1986,0.1007,0.1007,0.0972,0.1007,9302400
MSFT,16 Apr 1986,0.1007,0.105,0.0998,0.1042,31910400
MSFT,17 Apr 1986,0.105,0.105,0.1042,0.105,22003200
MSFT,18 Apr 1986,0.1042,0.105,0.1007,0.1016,21628800
MSFT,21 Apr 1986,0.1007,0.1024,0.099,0.1016,22924800
MSFT,22 Apr 1986,0.1007,0.1016,0.0998,0.0998,15552000
MSFT,23 Apr 1986,0.1007,0.1007,0.099,0.1003,15609600
MSFT,24 Apr 1986,0.0998,0.112,0.0998,0.1102,62236800
MSFT,25 Apr 1986,0.112,0.122,0.1111,0.1172,85449600
MSFT,28 Apr 1986,0.1189,0.1189,0.1163,0.1181,28886400
MSFT,29 Apr 1986,0.1181,0.1181,0.1137,0.1146,30326400
MSFT,30 Apr 1986,0.1155,0.1155,0.1094,0.112,30038400
MSFT,01 May 1986,0.1102,0.112,0.1085,0.1102,54345600
MSFT,02 May 1986,0.1102,0.112,0.1094,0.1102,20246400
MSFT,05 May 1986,0.1094,0.1102,0.1094,0.1094,3254400
MSFT,06 May 1986,0.1111,0.112,0.1102,0.1102,9734400
MSFT,07 May 1986,0.1111,0.1111,0.1085,0.1102,5155200
MSFT,08 May 1986,0.1102,0.1111,0.1094,0.1111,3542400
MSFT,09 May 1986,0.1111,0.1111,0.1102,0.1102,6076800
MSFT,12 May 1986,0.112,0.1137,0.1102,0.1111,10483200
MSFT,13 May 1986,0.1128,0.1128,0.1111,0.112,3830400
MSFT,14 May 1986,0.112,0.112,0.1111,0.1111,9302400
MSFT,15 May 1986,0.112,0.1128,0.1111,0.1111,3801600
MSFT,16 May 1986,0.112,0.1146,0.1111,0.112,11952000
MSFT,19 May 1986,0.1111,0.112,0.1094,0.1094,11001600
MSFT,20 May 1986,0.1094,0.1102,0.1085,0.1094,4377600
MSFT,21 May 1986,0.1102,0.1102,0.1076,0.1076,8092800
MSFT,22 May 1986,0.1076,0.1085,0.1076,0.1076,4406400
MSFT,23 May 1986,0.1085,0.1094,0.1076,0.1076,4089600
MSFT,27 May 1986,0.1076,0.1111,0.1076,0.1111,13881600
MSFT,28 May 1986,0.112,0.1146,0.1111,0.1146,15523200
MSFT,29 May 1986,0.1146,0.1189,0.1137,0.1172,45676800
MSFT,30 May 1986,0.1189,0.1233,0.1181,0.1207,32832000
MSFT,02 Jun 1986,0.1207,0.1215,0.1181,0.1181,19728000
MSFT,03 Jun 1986,0.1172,0.1181,0.1163,0.1181,5011200
MSFT,04 Jun 1986,0.1181,0.1189,0.1163,0.1172,4723200
MSFT,05 Jun 1986,0.1172,0.1189,0.1163,0.1189,13708800
MSFT,06 Jun 1986,0.1172,0.1189,0.1172,0.1189,3427200
MSFT,09 Jun 1986,0.1189,0.1189,0.1137,0.1137,12672000
MSFT,10 Jun 1986,0.1137,0.1137,0.112,0.1137,3427200
MSFT,11 Jun 1986,0.1137,0.1137,0.112,0.1137,2304000
MSFT,12 Jun 1986,0.1128,0.1137,0.1085,0.1094,13708800
MSFT,13 Jun 1986,0.1085,0.1102,0.1085,0.1094,7891200
MSFT,16 Jun 1986,0.1102,0.1102,0.1076,0.1085,9590400
MSFT,17 Jun 1986,0.1094,0.112,0.1094,0.1102,13075200
MSFT,18 Jun 1986,0.1102,0.1102,0.1076,0.1094,4348800
MSFT,19 Jun 1986,0.1094,0.1102,0.1076,0.1085,8467200
MSFT,20 Jun 1986,0.1094,0.1094,0.1085,0.1089,3801600
