ticker,date,open,high,low,close,volume
NOC,28 Jul 80,7.75,7.75,7.6667,7.7292,39600
NOC,29 Jul 80,7.75,7.7917,7.6458,7.7083,147000
NOC,30 Jul 80,7.75,7.9167,7.75,7.8958,726600
NOC,31 Jul 80,7.7917,7.8333,7.7083,7.8333,73200
NOC,01 Aug 80,7.7917,7.8333,7.7708,7.8125,46800
NOC,04 Aug 80,7.75,7.7917,7.75,7.7917,57600
NOC,05 Aug 80,7.8333,7.8542,7.7708,7.7708,123600
NOC,06 Aug 80,7.75,7.75,7.6667,7.6875,60000
NOC,07 Aug 80,7.7708,7.8333,7.6875,7.7083,201600
NOC,08 Aug 80,7.7292,7.75,7.6875,7.7083,192600
NOC,11 Aug 80,7.7292,7.7292,7.6667,7.7083,84000
NOC,12 Aug 80,7.6875,7.7292,7.6667,7.6875,169200
NOC,13 Aug 80,7.6875,7.6875,7.5625,7.5625,224400
NOC,14 Aug 80,7.5625,7.5833,7.5,7.5417,266400
NOC,15 Aug 80,7.5417,7.5833,7.5,7.5208,105000
NOC,18 Aug 80,7.4583,7.5417,7.3958,7.3958,150600
NOC,19 Aug 80,7.3542,7.3958,7.3333,7.3958,117600
NOC,20 Aug 80,7.4375,7.4583,7.3542,7.4375,205800
NOC,21 Aug 80,7.4167,7.5,7.4167,7.5,200400
NOC,22 Aug 80,7.75,7.75,7.625,7.625,295800
NOC,25 Aug 80,7.6667,7.7292,7.625,7.625,85200
NOC,26 Aug 80,7.5833,7.6458,7.5625,7.5625,57000
NOC,27 Aug 80,7.6042,7.6042,7.375,7.4375,54600
NOC,28 Aug 80,7.3958,7.4375,7.3333,7.3333,142200
NOC,29 Aug 80,7.2917,7.3125,7.25,7.2708,19800
NOC,02 Sep 80,7.3333,7.3958,7.2917,7.3333,34800
NOC,03 Sep 80,7.4167,7.4167,7.3333,7.4167,74400
NOC,04 Sep 80,7.4375,7.4583,7.3542,7.375,72600
NOC,05 Sep 80,7.4167,7.4375,7.3958,7.3958,67800
NOC,08 Sep 80,7.4375,7.4375,7.3333,7.3333,41400
NOC,09 Sep 80,7.3333,7.3958,7.3333,7.3333,83400
NOC,10 Sep 80,7.375,7.3958,7.3333,7.375,84000
NOC,11 Sep 80,7.4167,7.4375,7.375,7.375,40800
NOC,12 Sep 80,7.4167,7.4375,7.3542,7.3542,57000
NOC,15 Sep 80,7.4167,7.4375,7.3542,7.4375,72000
NOC,16 Sep 80,7.4375,7.4792,7.4167,7.4167,84600
NOC,17 Sep 80,7.5,7.875,7.4583,7.875,159600
NOC,18 Sep 80,7.9792,8.1667,7.9792,8,289200
NOC,19 Sep 80,7.9583,8.0417,7.9583,7.9583,94200
NOC,22 Sep 80,8,8.0417,7.875,7.9792,198600
NOC,23 Sep 80,8.0625,8.1042,7.9792,7.9792,123600
NOC,24 Sep 80,7.8958,7.9792,7.8333,7.8542,831600
NOC,25 Sep 80,7.8958,7.8958,7.8125,7.8125,55200
NOC,26 Sep 80,7.75,7.7708,7.5417,7.5417,52200
NOC,29 Sep 80,7.5417,7.5625,7.375,7.5208,57000
NOC,30 Sep 80,7.5,7.5625,7.375,7.5,157800
NOC,01 Oct 80,7.5417,7.5625,7.4375,7.4792,44400
NOC,02 Oct 80,7.5,7.5833,7.4792,7.5,33600
NOC,03 Oct 80,7.5417,7.6458,7.5208,7.6458,72600
NOC,06 Oct 80,7.6667,7.8333,7.6667,7.8125,111600
NOC,07 Oct 80,7.8333,7.9792,7.7917,7.8333,231000
NOC,08 Oct 80,7.9167,7.9167,7.7917,7.7917,72000
NOC,09 Oct 80,7.8125,7.8125,7.625,7.625,67200
NOC,10 Oct 80,7.5417,7.5417,7.375,7.3958,127200
NOC,13 Oct 80,7.3542,7.5,7.3542,7.4583,51000
NOC,14 Oct 80,7.4583,7.6875,7.4583,7.5417,95400
NOC,15 Oct 80,7.5625,7.6875,7.5208,7.6875,189000
NOC,16 Oct 80,7.7708,7.9167,7.75,7.7917,284400
NOC,17 Oct 80,7.75,7.8542,7.75,7.8125,411600
NOC,20 Oct 80,7.8958,7.9167,7.8542,7.9167,55800
NOC,21 Oct 80,7.9792,7.9792,7.8333,7.8333,721800
NOC,22 Oct 80,7.875,7.8958,7.8542,7.875,101400
NOC,23 Oct 80,7.9792,8.0833,7.8333,7.8333,234600
NOC,24 Oct 80,7.8542,7.8542,7.7708,7.7917,55800
NOC,27 Oct 80,7.8125,7.8333,7.7708,7.7917,65400
NOC,28 Oct 80,7.8333,7.8542,7.7917,7.8542,125400
NOC,29 Oct 80,7.875,7.9167,7.8542,7.8542,110400
NOC,30 Oct 80,7.875,7.875,7.8125,7.8333,89400
NOC,31 Oct 80,7.7917,7.8333,7.75,7.7917,456600
NOC,03 Nov 80,7.8333,8.125,7.8333,8.0833,397200
NOC,05 Nov 80,8.9583,8.9583,8.6875,8.8125,1210200
NOC,06 Nov 80,8.8333,8.8333,8.5625,8.6458,867000
NOC,07 Nov 80,8.6667,8.6875,8.5833,8.625,272400
NOC,10 Nov 80,8.6458,8.7083,8.625,8.6667,391800
NOC,11 Nov 80,8.6875,8.7708,8.6667,8.7083,395400
NOC,12 Nov 80,9,9.375,9,9.375,522000
NOC,13 Nov 80,9.4792,9.6042,9.3542,9.6042,410400
NOC,14 Nov 80,9.875,9.9167,9.625,9.8333,675600
NOC,17 Nov 80,9.875,9.9583,9.625,9.9583,255600
NOC,18 Nov 80,10.0417,10.2083,9.9167,10,328800
NOC,19 Nov 80,10.125,10.1458,9.8958,9.8958,301800
NOC,20 Nov 80,10.2083,10.2292,9.9583,10,646800
NOC,21 Nov 80,10.125,10.125,9.5833,9.5833,426000
NOC,24 Nov 80,9.6458,9.6667,9.5625,9.5625,256800
NOC,25 Nov 80,9.6667,9.6667,9.5417,9.625,139800
NOC,26 Nov 80,9.8958,10.2917,9.8958,10.0625,342000
NOC,28 Nov 80,10.1042,10.2292,10.0833,10.125,165000
NOC,01 Dec 80,10.1875,10.1875,9.875,9.875,150600
NOC,02 Dec 80,9.9792,9.9792,9.7083,9.875,259200
NOC,03 Dec 80,9.9375,9.9583,9.8125,9.875,132600
NOC,04 Dec 80,9.9167,9.9583,9.7292,9.8542,130800
NOC,05 Dec 80,9.8958,9.8958,9.7083,9.7083,134400
NOC,08 Dec 80,9.7083,9.75,9.5208,9.5208,88200
NOC,09 Dec 80,9.6042,9.6042,9.25,9.3333,164400
NOC,10 Dec 80,9.5,9.5833,9.1667,9.1667,134400
NOC,11 Dec 80,9,9.0417,8.7917,8.9167,162000
NOC,12 Dec 80,8.9167,8.9792,8.7708,8.9375,91200
NOC,15 Dec 80,8.9375,9.1458,9,9.125,85800
NOC,16 Dec 80,9.125,9.25,9.1458,9.2083,81600
NOC,17 Dec 80,9.2083,9.6667,9.375,9.625,116400
NOC,18 Dec 80,9.625,10,9.875,9.8958,115200
NOC,19 Dec 80,9.8958,10.1458,9.8958,9.9583,180000
NOC,22 Dec 80,9.9583,10.0208,9.8333,9.8333,66000
NOC,23 Dec 80,9.8333,9.8333,9.6667,9.7083,103200
NOC,24 Dec 80,9.7083,9.8333,9.7292,9.8125,17400
NOC,26 Dec 80,9.8125,9.8542,9.7917,9.8333,8400
NOC,29 Dec 80,9.8125,10.1042,9.8125,9.8333,103800
NOC,30 Dec 80,9.875,10.1458,9.875,10.1458,62400
NOC,31 Dec 80,10.1458,10.1667,10.0833,10.0833,83400
NOC,02 Jan 81,10.0417,10.0625,9.9583,10.0208,120000
NOC,05 Jan 81,10.1042,10.2083,10.0833,10.1042,110400
NOC,06 Jan 81,10.25,10.4167,10.1458,10.3333,252600
NOC,07 Jan 81,10.1667,10.1667,9.9583,10,259800
NOC,08 Jan 81,10.0833,10.2292,9.9167,9.9167,193800
NOC,09 Jan 81,10,10.0625,9.9583,9.9583,336600
NOC,12 Jan 81,10.0417,10.2917,10.0417,10.1875,202200
NOC,13 Jan 81,10.2917,10.2917,10.125,10.125,161400
NOC,14 Jan 81,10.0833,10.2083,10.0417,10.0417,280800
NOC,15 Jan 81,10.0833,10.1458,10.0208,10.0833,141600
NOC,16 Jan 81,10.2083,10.2292,10.1042,10.1667,123600
NOC,19 Jan 81,10.25,10.375,10.1667,10.375,682800
NOC,20 Jan 81,10.4167,10.5,9.875,9.875,255600
NOC,21 Jan 81,9.6667,9.75,9.5,9.5,355200
NOC,22 Jan 81,9.5625,9.625,9.375,9.4583,119400
NOC,23 Jan 81,9.5,9.5,9.2917,9.3333,244800
NOC,26 Jan 81,9.375,9.375,9.1042,9.2083,103200
NOC,27 Jan 81,9.2708,9.3958,9.2708,9.375,88800
NOC,28 Jan 81,9.4167,9.5,9.25,9.3125,109800
NOC,29 Jan 81,9.3125,9.3333,9.2292,9.25,158400
NOC,30 Jan 81,9.2917,9.3125,9.0625,9.0625,123000
NOC,02 Feb 81,9.0625,9.0625,8.8542,8.8542,52800
NOC,03 Feb 81,8.9167,8.9792,8.8542,8.875,66600
NOC,04 Feb 81,8.9792,9.0417,8.8333,8.8333,265200
NOC,05 Feb 81,8.8542,8.8958,8.8333,8.8333,145200
NOC,06 Feb 81,8.9167,8.9375,8.8333,8.8958,73200
NOC,09 Feb 81,8.9792,8.9792,8.875,8.8958,199200
NOC,10 Feb 81,8.875,8.9375,8.875,8.875,42600
NOC,11 Feb 81,8.9792,9.125,8.9792,9,93600
NOC,12 Feb 81,9.0833,9.0833,8.9583,8.9792,45600
NOC,13 Feb 81,8.9583,8.9583,8.7708,8.7917,175800
NOC,17 Feb 81,8.875,8.875,8.6458,8.6667,98400
NOC,18 Feb 81,8.6667,8.6667,8.4375,8.4375,159000
NOC,19 Feb 81,8.4792,8.5417,8.4167,8.4792,82800
NOC,20 Feb 81,8.4583,8.5625,8.3542,8.3958,104400
NOC,23 Feb 81,8.4583,8.5417,8.4583,8.5417,32400
NOC,24 Feb 81,8.5833,8.625,8.5417,8.5833,140400
NOC,25 Feb 81,8.6458,8.7083,8.5417,8.5833,108000
NOC,26 Feb 81,8.6875,8.875,8.6667,8.75,381000
NOC,27 Feb 81,8.875,8.8958,8.7083,8.7708,158400
NOC,02 Mar 81,8.4583,8.5625,8.1667,8.1667,438600
NOC,03 Mar 81,8.25,8.375,8.25,8.2917,200400
NOC,04 Mar 81,8.3333,8.3542,8.25,8.2917,114000
NOC,05 Mar 81,8.3958,8.3958,8.1875,8.25,125400
NOC,06 Mar 81,8.2708,8.2917,7.8333,7.9375,922800
NOC,09 Mar 81,7.8333,8.0417,7.8125,7.8542,160800
NOC,10 Mar 81,7.75,7.7708,7.4167,7.4792,556200
NOC,11 Mar 81,7.5208,7.5208,7.4167,7.4167,94800
NOC,12 Mar 81,7.2917,7.5833,7.2917,7.5833,280800
NOC,13 Mar 81,7.75,7.7917,7.5833,7.6042,174600
NOC,16 Mar 81,7.625,7.6667,7.5833,7.5833,136200
NOC,17 Mar 81,7.75,7.7917,7.6667,7.6667,259200
NOC,18 Mar 81,7.8333,7.8958,7.7708,7.8542,120600
NOC,19 Mar 81,7.9167,7.9583,7.875,7.875,76200
NOC,20 Mar 81,7.9583,7.9583,7.875,7.875,121800
NOC,23 Mar 81,8.0417,8.0417,7.9167,8,201600
NOC,24 Mar 81,8.2917,8.2917,8.0625,8.0625,256200
NOC,25 Mar 81,8.0625,8.125,8.0208,8.125,134400
NOC,26 Mar 81,8.2083,8.2083,8.125,8.1667,118800
NOC,27 Mar 81,8.1875,8.2083,8.125,8.1667,214200
NOC,30 Mar 81,8.1667,8.1667,8.1042,8.1042,94800
NOC,31 Mar 81,8.1667,8.1667,8.1042,8.125,78600
NOC,01 Apr 81,8.1667,8.25,8.1667,8.25,131400
NOC,02 Apr 81,8.375,8.375,8.25,8.2917,149400
NOC,03 Apr 81,8.3333,8.3333,8.1875,8.1875,68400
NOC,06 Apr 81,8.25,8.25,8,8.0417,217800
NOC,07 Apr 81,8.0417,8.0625,8,8.0417,71400
NOC,08 Apr 81,8.0417,8.0417,7.9167,7.9167,105000
NOC,09 Apr 81,7.8333,7.8542,7.7917,7.8333,53400
NOC,10 Apr 81,7.8333,7.9167,7.8333,7.8958,111000
NOC,13 Apr 81,7.8958,7.9792,7.8958,7.9167,135000
NOC,14 Apr 81,7.9583,7.9792,7.9375,7.9375,19200
NOC,15 Apr 81,8.0417,8.3333,8.0417,8.3333,96600
NOC,16 Apr 81,8.3542,8.5833,8.3542,8.5833,108000
NOC,20 Apr 81,8.6458,8.8333,8.5417,8.7708,100800
NOC,21 Apr 81,8.8125,8.8125,8.5833,8.6667,73200
NOC,22 Apr 81,8.6667,8.7292,8.625,8.625,139200
NOC,23 Apr 81,8.6667,8.6875,8.625,8.625,74400
NOC,24 Apr 81,8.5625,8.7292,8.5625,8.6875,100800
NOC,27 Apr 81,8.6875,8.7292,8.6667,8.7083,53400
NOC,28 Apr 81,8.6667,8.6875,8.5,8.5,113400
NOC,29 Apr 81,8.5833,8.5833,8.5,8.5,48000
NOC,30 Apr 81,8.5,8.5417,8.4375,8.4375,198600
NOC,01 May 81,8.4167,8.4167,8.1875,8.25,66600
NOC,04 May 81,8.3333,8.3333,8.1875,8.1875,75600
NOC,05 May 81,8.125,8.125,8,8.0833,204600
NOC,06 May 81,8.1042,8.1667,8.0417,8.0417,232200
NOC,07 May 81,8.0833,8.125,7.9167,7.9375,187200
NOC,08 May 81,7.9792,8.0417,7.9792,8.0417,240000
NOC,11 May 81,8.1042,8.125,7.9375,8,97200
NOC,12 May 81,8.0417,8.0417,8,8,64800
NOC,13 May 81,8.0833,8.0833,7.9583,7.9583,27600
NOC,14 May 81,7.9375,8.0417,7.9375,8.0417,146400
NOC,15 May 81,8.0833,8.125,8,8.0417,95400
NOC,18 May 81,8.125,8.1667,8.125,8.1458,124200
NOC,19 May 81,8.1875,8.25,8.1875,8.25,40200
NOC,20 May 81,8.3333,8.5,8.3333,8.4583,50400
NOC,21 May 81,8.4792,8.5,8.4167,8.5,123600
NOC,22 May 81,8.5833,8.6042,8.5417,8.5417,75000
NOC,26 May 81,8.3958,8.4583,8.25,8.25,60600
NOC,27 May 81,8.2083,8.2917,8.2083,8.25,20400
NOC,28 May 81,8.25,8.375,8.2083,8.375,254400
NOC,29 May 81,8.3333,8.3333,8.2708,8.2917,437400
NOC,01 Jun 81,8.25,8.4167,8.25,8.375,141600
NOC,02 Jun 81,8.4167,8.6042,8.375,8.5,104400
NOC,03 Jun 81,8.5,8.5208,8.4375,8.4583,28800
NOC,04 Jun 81,8.4583,8.4583,8.3333,8.3333,24000
NOC,05 Jun 81,8.3125,8.4167,8.2292,8.3542,102600
NOC,08 Jun 81,8.3958,8.4167,8.3333,8.4167,22200
NOC,09 Jun 81,8.375,8.4375,8.3125,8.3333,34800
NOC,10 Jun 81,8.3333,8.8333,8.3333,8.7917,368400
NOC,11 Jun 81,8.7917,8.8333,8.6667,8.7708,253800
NOC,12 Jun 81,8.7292,8.8958,8.7292,8.7292,142200
NOC,15 Jun 81,8.7292,8.7292,8.5417,8.625,197400
NOC,16 Jun 81,8.6042,8.6458,8.5625,8.5625,36000
NOC,17 Jun 81,8.5208,8.5208,8.4375,8.4375,136200
NOC,18 Jun 81,8.4375,8.4375,8.0625,8.0625,99000
NOC,19 Jun 81,8.125,8.125,7.9583,8,258000
NOC,22 Jun 81,8.0417,8.0417,7.875,7.875,70200
NOC,23 Jun 81,7.875,7.8958,7.8333,7.8958,243600
NOC,24 Jun 81,7.875,7.875,7.6667,7.7083,132000
NOC,25 Jun 81,7.75,7.8125,7.7083,7.75,115800
NOC,26 Jun 81,7.7083,7.7292,7.6667,7.6667,69000
NOC,29 Jun 81,7.6667,7.6667,7.5833,7.625,25800
NOC,30 Jun 81,7.5833,7.625,7.5,7.5625,87600
NOC,01 Jul 81,7.5833,7.625,7.5,7.6042,949200
NOC,02 Jul 81,7.6042,7.6667,7.5833,7.625,297000
NOC,06 Jul 81,7.6042,7.625,7.5625,7.6042,60600
NOC,07 Jul 81,7.6667,7.6667,7.5208,7.5208,75000
NOC,08 Jul 81,7.5625,7.5833,7.4792,7.4792,31800
NOC,09 Jul 81,7.5,7.5,7.375,7.375,44400
NOC,10 Jul 81,7.4167,7.4167,7.3542,7.375,28800
NOC,13 Jul 81,7.4583,7.5417,7.3958,7.5,101400
NOC,14 Jul 81,7.5417,7.5417,7.1667,7.1875,120600
NOC,15 Jul 81,7.2292,7.25,7.1458,7.1667,106200
NOC,16 Jul 81,7.1667,7.1667,7.0833,7.0833,55200
NOC,17 Jul 81,7.1042,7.1667,7.0833,7.1667,283800
NOC,20 Jul 81,7.2083,7.2292,7.1667,7.2292,30600
NOC,21 Jul 81,7.2292,7.4167,7.1875,7.3958,106800
NOC,22 Jul 81,7.4375,7.4583,7.3958,7.3958,251400
NOC,23 Jul 81,7.375,7.375,7.3333,7.3542,171600
NOC,24 Jul 81,7.3958,7.5,7.3958,7.5,118200
NOC,27 Jul 81,7.5417,7.5417,7.5,7.5,21000
NOC,28 Jul 81,7.6042,7.625,7.5625,7.625,46200
NOC,29 Jul 81,7.6458,7.6458,7.5625,7.5625,46800
NOC,30 Jul 81,7.6042,7.625,7.5417,7.625,72600
NOC,31 Jul 81,7.6042,7.7083,7.6042,7.6667,58200
NOC,03 Aug 81,7.6667,7.8333,7.6667,7.7708,58200
NOC,04 Aug 81,7.7292,8,7.7292,7.9167,136800
NOC,05 Aug 81,7.9375,8,7.875,7.9583,112200
NOC,06 Aug 81,7.9375,7.9583,7.7917,7.7917,124200
NOC,07 Aug 81,7.8333,7.8542,7.6875,7.7292,60600
NOC,10 Aug 81,7.4167,7.4583,7.3958,7.4167,204600
NOC,11 Aug 81,7.4583,7.5833,7.4583,7.5208,161400
NOC,12 Aug 81,7.7708,7.8333,7.7083,7.7083,81000
NOC,13 Aug 81,7.6667,7.6667,7.6042,7.6042,46800
NOC,14 Aug 81,7.5625,7.625,7.5625,7.6042,20400
NOC,17 Aug 81,7.6458,7.6458,7.5,7.5,98400
NOC,18 Aug 81,7.5,7.5417,7.3958,7.4375,67800
NOC,19 Aug 81,7.4375,7.5,7.4167,7.4583,69600
NOC,20 Aug 81,7.4583,7.5,7.4375,7.4375,33600
NOC,21 Aug 81,7.375,7.4375,7.375,7.375,73200
NOC,24 Aug 81,7.4167,7.4167,7.3333,7.3333,55800
NOC,25 Aug 81,7.3333,7.375,7.3333,7.375,150000
NOC,26 Aug 81,7.2917,7.3333,7.2083,7.2083,78600
NOC,27 Aug 81,7.1667,7.1667,6.875,6.8958,91200
NOC,28 Aug 81,6.8542,6.9167,6.7917,6.7917,87600
NOC,31 Aug 81,6.625,6.625,6.25,6.25,490200
NOC,01 Sep 81,6.25,6.2917,6.1458,6.2292,106200
NOC,02 Sep 81,6.1667,6.2083,6.125,6.1667,24600
NOC,03 Sep 81,6.1458,6.2083,6.1042,6.1875,663600
NOC,04 Sep 81,6.1875,6.2083,5.9375,6.0208,79800
NOC,08 Sep 81,5.9375,5.9375,5.8542,5.8542,67800
NOC,09 Sep 81,5.9792,6.0625,5.9792,6.0625,157800
NOC,10 Sep 81,6.1458,6.25,6.1458,6.2083,42600
NOC,11 Sep 81,6.25,6.25,6.1667,6.2292,61800
NOC,14 Sep 81,6.25,6.2917,6.1458,6.1875,50400
NOC,15 Sep 81,6.1875,6.1875,6.125,6.125,25800
NOC,16 Sep 81,6.1667,6.1667,6,6.0417,96000
NOC,17 Sep 81,6.0417,6.0417,5.7292,5.7292,124800
NOC,18 Sep 81,5.6667,5.7083,5.5,5.5833,649800
NOC,21 Sep 81,5.625,5.7292,5.625,5.7292,604800
NOC,22 Sep 81,5.7917,6,5.75,5.9375,144600
NOC,23 Sep 81,5.8958,6.1458,5.8958,6.1042,100200
NOC,24 Sep 81,6.0625,6.125,5.875,5.9167,167400
NOC,25 Sep 81,5.8333,5.8333,5.625,5.75,139800
NOC,28 Sep 81,5.625,5.9583,5.625,5.9583,162600
NOC,29 Sep 81,6,6.125,5.9792,6.0625,80400
NOC,30 Sep 81,5.9792,6.0833,5.9167,6.0833,86400
NOC,01 Oct 81,6.0417,6.125,5.9583,6.125,33600
