ticker,date,open,high,low,close,volume
ORCL,13 Mar 86,0.0656,0.0656,0.0648,0.0648,125323200
ORCL,14 Mar 86,0.0679,0.0679,0.0671,0.0671,57898800
ORCL,17 Mar 86,0.0664,0.0664,0.0656,0.0656,28317600
ORCL,18 Mar 86,0.0648,0.0648,0.064,0.064,32367600
ORCL,19 Mar 86,0.064,0.064,0.0625,0.0625,22744800
ORCL,20 Mar 86,0.0633,0.0633,0.0625,0.0625,17820000
ORCL,21 Mar 86,0.0617,0.0617,0.0602,0.0602,16264800
ORCL,24 Mar 86,0.061,0.061,0.0602,0.0602,20768400
ORCL,25 Mar 86,0.061,0.061,0.0602,0.0602,21708000
ORCL,26 Mar 86,0.0625,0.0625,0.061,0.061,23360400
ORCL,27 Mar 86,0.0648,0.0648,0.0633,0.0633,21546000
ORCL,31 Mar 86,0.0648,0.0648,0.064,0.064,9914400
ORCL,01 Apr 86,0.0617,0.0617,0.061,0.061,20347200
ORCL,02 Apr 86,0.0617,0.0617,0.0602,0.0602,12992400
ORCL,03 Apr 86,0.064,0.064,0.0625,0.0625,11988000
ORCL,04 Apr 86,0.0633,0.0633,0.0617,0.0617,10692000
ORCL,07 Apr 86,0.0633,0.0633,0.0625,0.0625,9039600
ORCL,08 Apr 86,0.064,0.064,0.0625,0.0625,15033600
ORCL,09 Apr 86,0.0633,0.0633,0.0625,0.0625,8974800
ORCL,10 Apr 86,0.0633,0.0633,0.0625,0.0625,9460800
ORCL,11 Apr 86,0.0648,0.0648,0.064,0.064,18306000
ORCL,14 Apr 86,0.0648,0.0648,0.064,0.064,46818000
ORCL,15 Apr 86,0.0648,0.0648,0.064,0.0648,12052800
ORCL,16 Apr 86,0.0648,0.0679,0.064,0.0679,22582800
ORCL,17 Apr 86,0.0687,0.0741,0.0679,0.0741,19731600
ORCL,18 Apr 86,0.0741,0.0818,0.0741,0.0802,27831600
ORCL,21 Apr 86,0.0802,0.0891,0.0795,0.088,33566400
ORCL,22 Apr 86,0.0876,0.088,0.0826,0.0833,38296800
ORCL,23 Apr 86,0.0826,0.0833,0.081,0.081,4147200
ORCL,24 Apr 86,0.0826,0.0826,0.081,0.0826,10821600
ORCL,25 Apr 86,0.0826,0.0841,0.0826,0.0841,4665600
ORCL,28 Apr 86,0.0841,0.0864,0.0841,0.0849,46040400
ORCL,29 Apr 86,0.0856,0.0856,0.0833,0.0841,2818800
ORCL,30 Apr 86,0.0826,0.0826,0.0772,0.0772,9752400
ORCL,01 May 86,0.0779,0.0795,0.0772,0.0787,21578400
ORCL,02 May 86,0.0787,0.0795,0.0741,0.0741,10659600
ORCL,05 May 86,0.0756,0.0756,0.0741,0.0756,4957200
ORCL,06 May 86,0.0756,0.0779,0.0741,0.0779,7290000
ORCL,07 May 86,0.0787,0.0795,0.0779,0.0795,11858400
ORCL,08 May 86,0.0802,0.0818,0.0787,0.0802,21286800
ORCL,09 May 86,0.0818,0.0818,0.0802,0.0818,7614000
ORCL,12 May 86,0.0818,0.0818,0.0802,0.081,11437200
